,rating,name,link,area_genre,price(dinner),price(lunch),holiday
91,3.74,かえる食堂,https://tabelog.com/tw/tokyo/A1322/A132202/13030312/,"要町車站 / 咖喱, 蛋糕",-,"JPY 1,000 - JPY 1,999","星期一, 星期日"
92,3.74,成城アルプス,https://tabelog.com/tw/tokyo/A1318/A131814/13002002/,"成城學園前車站 / 蛋糕, 咖啡館, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",星期二
93,3.74,クルミドコーヒー,https://tabelog.com/tw/tokyo/A1325/A132502/13056474/,"西國分寺車站 / 咖啡店, 咖啡館, 蛋糕","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",星期四
94,3.74,ブーランジェリーブルディガラ 広尾本店,https://tabelog.com/tw/tokyo/A1307/A130703/13000523/,"廣尾車站 / 麵包, 蛋糕",- JPY 999,- JPY 999,星期二
95,3.74,トラスパレンテ 学芸大学店,https://tabelog.com/tw/tokyo/A1317/A131702/13129736/,"學藝大學車站 / 麵包, 咖啡店, 蛋糕",- JPY 999,"JPY 1,000 - JPY 1,999","星期一, 星期二"
96,3.74,ノリエット,https://tabelog.com/tw/tokyo/A1318/A131809/13000687/,"下高井戶車站 / 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期二, 星期三"
97,3.73,ゼロワンカレーA.o.D,https://tabelog.com/tw/tokyo/A1314/A131402/13239329/,"田町車站 / 印度料理, 印度咖哩, 蛋糕","JPY 2,000 - JPY 2,999","JPY 1,000 - JPY 1,999",-
98,3.73,ディゾン 水道橋,https://tabelog.com/tw/tokyo/A1310/A131003/13182399/,"水道橋車站 / 咖啡店, 蛋糕","JPY 2,000 - JPY 2,999","JPY 2,000 - JPY 2,999",-
99,3.73,ル カフェドゥ ジョエル・ロブション 日本橋高島屋店,https://tabelog.com/tw/tokyo/A1302/A130202/13009090/,"日本橋車站 / 咖啡店, 蛋糕, 法式料理","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
100,3.73,ビヤンネートル,https://tabelog.com/tw/tokyo/A1318/A131811/13113676/,"代代木上原車站 / 蛋糕, 咖啡店, 刨冰",- JPY 999,- JPY 999,-
101,3.73,イエンセン,https://tabelog.com/tw/tokyo/A1318/A131810/13007309/,"代代木八幡車站 / 麵包, 蛋糕",-,- JPY 999,"星期日, 節假日"
102,3.72,Paul Bassett 新宿,https://tabelog.com/tw/tokyo/A1304/A130401/13026041/,"西新宿車站 / 咖啡店, 蛋糕, 麵包",- JPY 999,- JPY 999,-
103,3.72,カフェーパウリスタ,https://tabelog.com/tw/tokyo/A1301/A130103/13002648/,"新橋車站 / 咖啡店, 蛋糕",-,"JPY 1,000 - JPY 1,999",-
104,3.72,ザ・リッツ・カールトン カフェ＆デリ,https://tabelog.com/tw/tokyo/A1307/A130701/13037995/,"六本木車站 / 咖啡店, 麵包, 蛋糕","JPY 3,000 - JPY 3,999","JPY 2,000 - JPY 2,999",-
105,3.71,Paul Bassett 渋谷ヒカリエ ＳｈiｎＱｓ 東横のれん街店,https://tabelog.com/tw/tokyo/A1303/A130301/13140156/,"澀谷車站 / 咖啡店, 蛋糕, 鬆餅",- JPY 999,- JPY 999,-
106,3.71,神田伯剌西爾,https://tabelog.com/tw/tokyo/A1310/A131003/13011590/,"神保町車站 / 咖啡館, 咖啡店, 蛋糕",- JPY 999,- JPY 999,-
107,3.71,カフェ マメヒコ 三軒茶屋本店,https://tabelog.com/tw/tokyo/A1317/A131706/13021745/,"三軒茶屋車站 / 咖啡店, 蛋糕, 意式冰淇淋/冰淇淋","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
108,3.71,ヴェルデ,https://tabelog.com/tw/tokyo/A1303/A130302/13050095/,"代官山車站 / 咖啡館, 咖啡店, 蛋糕",- JPY 999,- JPY 999,星期四
109,3.71,Cafe Tram,https://tabelog.com/tw/tokyo/A1303/A130302/13170379/,"惠比壽車站 / 咖啡店, 咖啡館, 蛋糕",-,"JPY 1,000 - JPY 1,999","星期一, 星期二"
110,3.71,すみだ珈琲,https://tabelog.com/tw/tokyo/A1312/A131201/13120781/,"錦糸町車站 / 咖啡店, 咖啡館, 蛋糕","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期六, 星期日, 節假日"
111,3.71,セル・オ・ブレ,https://tabelog.com/tw/tokyo/A1317/A131710/13044661/,"武藏小山車站 / 麵包, 三明治, 蛋糕",- JPY 999,-,"星期一, 星期日"
112,3.70,自家焙煎珈琲 凡,https://tabelog.com/tw/tokyo/A1304/A130401/13000735/,"新宿西口車站 / 咖啡館, 咖啡店, 蛋糕","JPY 3,000 - JPY 3,999","JPY 1,000 - JPY 1,999",-
113,3.70,ハドソンマーケットベーカーズ,https://tabelog.com/tw/tokyo/A1307/A130702/13144811/,"麻布十番車站 / 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
